,id,submitter,authors,title,comments,journal-ref,doi,report-no,categories,license,abstract,versions,update_date,authors_parsed
1369845,2010.13515,Andrea Asperti,Andrea Asperti and Stefano Dal Bianco,Syllabification of the Divine Comedy,,,,,cs.CL,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We provide a syllabification algorithm for the Divine Comedy using techniques
from probabilistic and constraint programming. We particularly focus on the
synalephe, addressed in terms of the ""propensity"" of a word to take part in a
synalephe with adjacent words. We jointly provide an online vocabulary
containing, for each word, information about its syllabification, the location
of the tonic accent, and the aforementioned synalephe propensity, on the left
and right sides. The algorithm is intrinsically nondeterministic, producing
different possible syllabifications for each verse, with different likelihoods;
metric constraints relative to accents on the 10th, 4th and 6th syllables are
used to further reduce the solution space. The most likely syllabification is
hence returned as output. We believe that this work could be a major milestone
for a lot of different investigations. From the point of view of digital
humanities it opens new perspectives on computer assisted analysis of digital
sources, comprising automated detection of anomalous and problematic cases,
metric clustering of verses and their categorization, or more foundational
investigations addressing e.g. the phonetic roles of consonants and vowels.
From the point of view of text processing and deep learning, information about
syllabification and the location of accents opens a wide range of exciting
perspectives, from the possibility of automatic learning syllabification of
words and verses, to the improvement of generative models, aware of metric
issues, and more respectful of the expected musicality.
","[{'version': 'v1', 'created': 'Mon, 26 Oct 2020 12:14:14 GMT'}]",2020-10-27,"[['Asperti', 'Andrea', ''], ['Bianco', 'Stefano Dal', '']]"
1369874,2010.13544,Zhenzhen Li,"Zhenzhen Li, Jian-Yun Nie, Benyou Wang, Pan Du, Yuhan Zhang, Lixin
  Zou, and Dongsheng Li","Meta-Learning for Neural Relation Classification with Distant
  Supervision","10 pages, 7 figures; corrected one encoding error in CIKM pdf","In Proceedings of CIKM, pp. 815-824. 2020",10.1145/3340531.3412039,,cs.CL,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Distant supervision provides a means to create a large number of weakly
labeled data at low cost for relation classification. However, the resulting
labeled instances are very noisy, containing data with wrong labels. Many
approaches have been proposed to select a subset of reliable instances for
neural model training, but they still suffer from noisy labeling problem or
underutilization of the weakly-labeled data. To better select more reliable
training instances, we introduce a small amount of manually labeled data as
reference to guide the selection process. In this paper, we propose a
meta-learning based approach, which learns to reweight noisy training data
under the guidance of reference data. As the clean reference data is usually
very small, we propose to augment it by dynamically distilling the most
reliable elite instances from the noisy data. Experiments on several datasets
demonstrate that the reference data can effectively guide the selection of
training data, and our augmented approach consistently improves the performance
of relation classification comparing to the existing state-of-the-art methods.
","[{'version': 'v1', 'created': 'Mon, 26 Oct 2020 12:52:28 GMT'}]",2020-10-27,"[['Li', 'Zhenzhen', ''], ['Nie', 'Jian-Yun', ''], ['Wang', 'Benyou', ''], ['Du', 'Pan', ''], ['Zhang', 'Yuhan', ''], ['Zou', 'Lixin', ''], ['Li', 'Dongsheng', '']]"
1369886,2010.13556,Yu Zhang,"Yu Zhang, Xiusi Chen, Yu Meng, Jiawei Han","Hierarchical Metadata-Aware Document Categorization under Weak
  Supervision",9 pages; Accepted to WSDM 2021,,,,cs.CL cs.IR,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Categorizing documents into a given label hierarchy is intuitively appealing
due to the ubiquity of hierarchical topic structures in massive text corpora.
Although related studies have achieved satisfying performance in fully
supervised hierarchical document classification, they usually require massive
human-annotated training data and only utilize text information. However, in
many domains, (1) annotations are quite expensive where very few training
samples can be acquired; (2) documents are accompanied by metadata information.
Hence, this paper studies how to integrate the label hierarchy, metadata, and
text signals for document categorization under weak supervision. We develop
HiMeCat, an embedding-based generative framework for our task. Specifically, we
propose a novel joint representation learning module that allows simultaneous
modeling of category dependencies, metadata information and textual semantics,
and we introduce a data augmentation module that hierarchically synthesizes
training documents to complement the original, small-scale training set. Our
experiments demonstrate a consistent improvement of HiMeCat over competitive
baselines and validate the contribution of our representation learning and data
augmentation modules.
","[{'version': 'v1', 'created': 'Mon, 26 Oct 2020 13:07:56 GMT'}]",2020-10-27,"[['Zhang', 'Yu', ''], ['Chen', 'Xiusi', ''], ['Meng', 'Yu', ''], ['Han', 'Jiawei', '']]"
1369915,2010.13585,Reza Marzban,"Reza Marzban, Christopher John Crick",Interpreting convolutional networks trained on textual data,"9 pages, 6 figures, 5 tables",,,,cs.CL cs.LG,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  There have been many advances in the artificial intelligence field due to the
emergence of deep learning. In almost all sub-fields, artificial neural
networks have reached or exceeded human-level performance. However, most of the
models are not interpretable. As a result, it is hard to trust their decisions,
especially in life and death scenarios. In recent years, there has been a
movement toward creating explainable artificial intelligence, but most work to
date has concentrated on image processing models, as it is easier for humans to
perceive visual patterns. There has been little work in other fields like
natural language processing. In this paper, we train a convolutional model on
textual data and analyze the global logic of the model by studying its filter
values. In the end, we find the most important words in our corpus to our
models logic and remove the rest (95%). New models trained on just the 5% most
important words can achieve the same performance as the original model while
reducing training time by more than half. Approaches such as this will help us
to understand NLP models, explain their decisions according to their word
choices, and improve them by finding blind spots and biases.
","[{'version': 'v1', 'created': 'Tue, 20 Oct 2020 20:12:05 GMT'}]",2020-10-27,"[['Marzban', 'Reza', ''], ['Crick', 'Christopher John', '']]"
1369918,2010.13588,Ozan Caglayan,"Ozan Caglayan, Pranava Madhyastha, Lucia Specia","Curious Case of Language Generation Evaluation Metrics: A Cautionary
  Tale","7 pages, accepted to COLING 2020",,,,cs.CL,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Automatic evaluation of language generation systems is a well-studied problem
in Natural Language Processing. While novel metrics are proposed every year, a
few popular metrics remain as the de facto metrics to evaluate tasks such as
image captioning and machine translation, despite their known limitations. This
is partly due to ease of use, and partly because researchers expect to see them
and know how to interpret them. In this paper, we urge the community for more
careful consideration of how they automatically evaluate their models by
demonstrating important failure cases on multiple datasets, language pairs and
tasks. Our experiments show that metrics (i) usually prefer system outputs to
human-authored texts, (ii) can be insensitive to correct translations of rare
words, (iii) can yield surprisingly high scores when given a single sentence as
system output for the entire test set.
","[{'version': 'v1', 'created': 'Mon, 26 Oct 2020 13:57:20 GMT'}]",2020-10-27,"[['Caglayan', 'Ozan', ''], ['Madhyastha', 'Pranava', ''], ['Specia', 'Lucia', '']]"
1305141,2006.10627,Qian Liu,"Qian Liu, Shengnan An, Jian-Guang Lou, Bei Chen, Zeqi Lin, Yan Gao,
  Bin Zhou, Nanning Zheng, Dongmei Zhang",Compositional Generalization by Learning Analytical Expressions,To appear in NeurIPS 2020 (Spotlight),,,,cs.AI cs.CL,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Compositional generalization is a basic and essential intellective capability
of human beings, which allows us to recombine known parts readily. However,
existing neural network based models have been proven to be extremely deficient
in such a capability. Inspired by work in cognition which argues
compositionality can be captured by variable slots with symbolic functions, we
present a refreshing view that connects a memory-augmented neural model with
analytical expressions, to achieve compositional generalization. Our model
consists of two cooperative neural modules, Composer and Solver, fitting well
with the cognitive argument while being able to be trained in an end-to-end
manner via a hierarchical reinforcement learning algorithm. Experiments on the
well-known benchmark SCAN demonstrate that our model seizes a great ability of
compositional generalization, solving all challenges addressed by previous
works with 100% accuracies.
","[{'version': 'v1', 'created': 'Thu, 18 Jun 2020 15:50:57 GMT'}, {'version': 'v2', 'created': 'Sat, 24 Oct 2020 03:47:49 GMT'}]",2020-10-27,"[['Liu', 'Qian', ''], ['An', 'Shengnan', ''], ['Lou', 'Jian-Guang', ''], ['Chen', 'Bei', ''], ['Lin', 'Zeqi', ''], ['Gao', 'Yan', ''], ['Zhou', 'Bin', ''], ['Zheng', 'Nanning', ''], ['Zhang', 'Dongmei', '']]"
1306638,2006.12124,Anne Wu,"Anne Wu, Changhan Wang, Juan Pino, Jiatao Gu",Self-Supervised Representations Improve End-to-End Speech Translation,Accepted to INTERSPEECH 2020,,,,eess.AS cs.CL cs.SD,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  End-to-end speech-to-text translation can provide a simpler and smaller
system but is facing the challenge of data scarcity. Pre-training methods can
leverage unlabeled data and have been shown to be effective on data-scarce
settings. In this work, we explore whether self-supervised pre-trained speech
representations can benefit the speech translation task in both high- and
low-resource settings, whether they can transfer well to other languages, and
whether they can be effectively combined with other common methods that help
improve low-resource end-to-end speech translation such as using a pre-trained
high-resource speech recognition system. We demonstrate that self-supervised
pre-trained features can consistently improve the translation performance, and
cross-lingual transfer allows to extend to a variety of languages without or
with little tuning.
","[{'version': 'v1', 'created': 'Mon, 22 Jun 2020 10:28:38 GMT'}, {'version': 'v2', 'created': 'Sun, 25 Oct 2020 03:31:15 GMT'}]",2020-10-27,"[['Wu', 'Anne', ''], ['Wang', 'Changhan', ''], ['Pino', 'Juan', ''], ['Gu', 'Jiatao', '']]"
1369967,2010.13637,Peng Gao,"Peng Gao, Fei Shao, Xiaoyuan Liu, Xusheng Xiao, Zheng Qin, Fengyuan
  Xu, Prateek Mittal, Sanjeev R. Kulkarni, Dawn Song",Enabling Efficient Cyber Threat Hunting With Cyber Threat Intelligence,,,,,cs.CR cs.CL cs.DB,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Log-based cyber threat hunting has emerged as an important solution to
counter sophisticated cyber attacks. However, existing approaches require
non-trivial efforts of manual query construction and have overlooked the rich
external knowledge about threat behaviors provided by open-source Cyber Threat
Intelligence (OSCTI). To bridge the gap, we propose EffHunter, a system that
facilitates cyber threat hunting in computer systems using OSCTI. Built upon
mature system auditing frameworks, EffHunter provides (1) an unsupervised,
light-weight, and accurate NLP pipeline that extracts structured threat
behaviors from unstructured OSCTI text, (2) a concise and expressive
domain-specific query language, TBQL, to hunt for malicious system activities,
(3) a query synthesis mechanism that automatically synthesizes a TBQL query for
threat hunting from the extracted threat behaviors, and (4) an efficient query
execution engine to search the big audit logging data. Evaluations on a broad
set of attack cases demonstrate the accuracy and efficiency of EffHunter in
enabling practical threat hunting.
","[{'version': 'v1', 'created': 'Mon, 26 Oct 2020 14:54:01 GMT'}]",2020-10-27,"[['Gao', 'Peng', ''], ['Shao', 'Fei', ''], ['Liu', 'Xiaoyuan', ''], ['Xiao', 'Xusheng', ''], ['Qin', 'Zheng', ''], ['Xu', 'Fengyuan', ''], ['Mittal', 'Prateek', ''], ['Kulkarni', 'Sanjeev R.', ''], ['Song', 'Dawn', '']]"
1369988,2010.13658,Baosong Yang,"Tianchi Bi and Liang Yao and Baosong Yang and Haibo Zhang and Weihua
  Luo and Boxing Chen","Constraint Translation Candidates: A Bridge between Neural Query
  Translation and Cross-lingual Information Retrieval",SIGIR eCom 2020,,,,cs.CL cs.IR,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Query translation (QT) is a key component in cross-lingual information
retrieval system (CLIR). With the help of deep learning, neural machine
translation (NMT) has shown promising results on various tasks. However, NMT is
generally trained with large-scale out-of-domain data rather than in-domain
query translation pairs. Besides, the translation model lacks a mechanism at
the inference time to guarantee the generated words to match the search index.
The two shortages of QT result in readable texts for human but inadequate
candidates for the downstream retrieval task. In this paper, we propose a novel
approach to alleviate these problems by limiting the open target vocabulary
search space of QT to a set of important words mined from search index
database. The constraint translation candidates are employed at both of
training and inference time, thus guiding the translation model to learn and
generate well performing target queries. The proposed methods are exploited and
examined in a real-word CLIR system--Aliexpress e-Commerce search engine.
Experimental results demonstrate that our approach yields better performance on
both translation quality and retrieval accuracy than the strong NMT baseline.
","[{'version': 'v1', 'created': 'Mon, 26 Oct 2020 15:27:51 GMT'}]",2020-10-27,"[['Bi', 'Tianchi', ''], ['Yao', 'Liang', ''], ['Yang', 'Baosong', ''], ['Zhang', 'Haibo', ''], ['Luo', 'Weihua', ''], ['Chen', 'Boxing', '']]"
1369989,2010.13659,Baosong Yang,"Liang Yao and Baosong Yang and Haibo Zhang and Weihua Luo and Boxing
  Chen","Exploiting Neural Query Translation into Cross Lingual Information
  Retrieval",SIGIR eCom 2020,,,,cs.CL cs.IR,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  As a crucial role in cross-language information retrieval (CLIR), query
translation has three main challenges: 1) the adequacy of translation; 2) the
lack of in-domain parallel training data; and 3) the requisite of low latency.
To this end, existing CLIR systems mainly exploit statistical-based machine
translation (SMT) rather than the advanced neural machine translation (NMT),
limiting the further improvements on both translation and retrieval quality. In
this paper, we investigate how to exploit neural query translation model into
CLIR system. Specifically, we propose a novel data augmentation method that
extracts query translation pairs according to user clickthrough data, thus to
alleviate the problem of domain-adaptation in NMT. Then, we introduce an
asynchronous strategy which is able to leverage the advantages of the real-time
in SMT and the veracity in NMT. Experimental results reveal that the proposed
approach yields better retrieval quality than strong baselines and can be well
applied into a real-world CLIR system, i.e. Aliexpress e-Commerce search
engine. Readers can examine and test their cases on our website:
https://aliexpress.com .
","[{'version': 'v1', 'created': 'Mon, 26 Oct 2020 15:28:19 GMT'}]",2020-10-27,"[['Yao', 'Liang', ''], ['Yang', 'Baosong', ''], ['Zhang', 'Haibo', ''], ['Luo', 'Weihua', ''], ['Chen', 'Boxing', '']]"
